Row_id,Year,Country,Spending_USD,Life_Expectancy
0,1970,Germany,252.311,71
1,1970,France,192.143,72
2,1970,Great Britain,123.993,72
3,1970,Japan,150.437,72
4,1970,USA,326.961,71
5,1971,Canada,313.391,73
6,1971,Germany,298.251,71
7,1971,Great Britain,134.172,72
8,1971,Japan,163.854,73
9,1971,USA,357.988,71
10,1972,Germany,337.364,71
11,1972,Japan,185.39,73
12,1972,USA,397.097,71
13,1973,Germany,384.541,71
14,1973,Japan,205.778,73
15,1973,USA,439.302,71
16,1974,Germany,452.744,72
17,1974,Japan,242.018,74
18,1974,USA,495.114,72
19,1975,Germany,532.481,71
20,1975,France,363.61,73
21,1975,Japan,284.269,74
22,1975,USA,560.75,73
23,1976,Canada,543.337,74
24,1976,Germany,591.098,72
25,1976,Japan,303.725,75
26,1976,USA,638.851,73
27,1977,Germany,647.352,72
28,1977,Japan,340.628,75
29,1977,USA,726.241,73
30,1978,Germany,729.457,72
31,1978,Japan,392.577,76
32,1978,USA,808.884,74
33,1979,Canada,692.269,75
34,1979,Germany,800.703,73
35,1979,Japan,452.931,76
36,1979,USA,908.963,74
37,1980,Canada,791.812,75
38,1980,Germany,908.166,73
39,1980,France,659.826,74
40,1980,Great Britain,385.099,73
41,1980,Japan,535.016,76
42,1980,USA,1036.3,74
43,1981,Canada,898.807,76
44,1981,Germany,1014.713,73
45,1981,Great Britain,433.957,74
46,1981,Japan,603.965,76
47,1981,USA,1191.537,74
48,1982,Canada,996.086,76
49,1982,Germany,1044.528,74
50,1982,Great Britain,448.477,74
51,1982,Japan,664.777,77
52,1982,USA,1329.669,74
53,1983,Canada,1066.746,76
54,1983,Germany,1104.594,74
55,1983,Great Britain,501.924,74
56,1983,Japan,714.857,77
57,1983,USA,1451.945,75
58,1984,Canada,1135.02,76
59,1984,Germany,1196.56,74
60,1984,Great Britain,521.522,74
61,1984,Japan,745.981,77
62,1984,USA,1590.667,75
63,1985,Canada,1212.85,76
64,1985,Germany,1298.555,75
65,1985,France,1001.145,75
66,1985,Great Britain,549.608,75
67,1985,Japan,818.382,78
68,1985,USA,1735.156,75
69,1986,Canada,1278.816,76
70,1986,Germany,1386.51,75
71,1986,Great Britain,578.61,75
72,1986,Japan,859.855,78
73,1986,USA,1847.773,75
74,1987,Canada,1357.453,77
75,1987,Germany,1480.096,76
76,1987,Great Britain,634.956,75
77,1987,Japan,916.703,78
78,1987,USA,1976.166,75
79,1988,Canada,1461.3,77
80,1988,Germany,1616.349,76
81,1988,Great Britain,688.049,75
82,1988,Japan,969.251,78
83,1988,USA,2195.392,75
84,1989,Canada,1579.543,77
85,1989,Germany,1596.16,76
86,1989,Great Britain,739.714,75
87,1989,Japan,1021.247,79
88,1989,USA,2424.654,75
89,1990,Canada,1699.774,77
90,1990,Germany,1724.332,77
91,1990,France,1459.11,77
92,1990,Great Britain,782.612,76
93,1990,Japan,1088.959,79
94,1990,USA,2684.984,75
95,1991,Canada,1805.209,78
96,1991,France,1558.033,77
97,1991,Great Britain,842.797,76
98,1991,Japan,1166.43,79
99,1991,USA,2901.589,76
100,1992,Canada,1897.456,78
101,1992,Germany,2019.308,76
102,1992,France,1651.139,78
103,1992,Great Britain,930.701,76
104,1992,Japan,1253.415,79
105,1992,USA,3100.343,76
106,1993,Canada,1930.889,78
107,1993,Germany,2040.313,76
108,1993,France,1753.485,78
109,1993,Great Britain,995.728,76
110,1993,Japan,1332.213,79
111,1993,USA,3286.558,76
112,1994,Canada,1962.196,78
113,1994,Germany,2188.676,76
114,1994,France,1817.042,78
115,1994,Great Britain,1058.68,77
116,1994,Japan,1420.271,80
117,1994,USA,3432.101,76
118,1995,Canada,1984.944,78
119,1995,Germany,2349.145,77
120,1995,France,2100.918,78
121,1995,Great Britain,1094.034,77
122,1995,Japan,1413.445,80
123,1995,USA,3586.745,76
124,1996,Canada,1999.778,78
125,1996,Germany,2480.217,77
126,1996,France,2169.451,78
127,1996,Great Britain,1171.591,77
128,1996,Japan,1436.372,80
129,1996,USA,4158.928,76
130,1997,Canada,2091.997,78
131,1997,Germany,2496.201,77
132,1997,France,2236.595,79
133,1997,Great Britain,1507.352,77
134,1997,Japan,1529.586,80
135,1997,USA,3894.282,76
136,1998,Canada,2200.468,79
137,1998,Germany,2566.003,78
138,1998,France,2321.931,79
139,1998,Great Britain,1572.097,77
140,1998,Japan,1571.107,81
141,1998,USA,4061.536,77
142,1999,Canada,2278.254,79
143,1999,Germany,2697.878,78
144,1999,France,2431.303,79
145,1999,Great Britain,1683.905,78
146,1999,Japan,1667.922,80
147,1999,USA,4261.996,77
148,2000,Canada,2450.593,79
149,2000,Germany,2895.533,78
150,2000,France,2687.53,79
151,2000,Great Britain,1897.202,78
152,2000,Japan,1847.786,81
153,2000,USA,4536.561,77
154,2001,Canada,2624.293,79
155,2001,Germany,3009.368,78
156,2001,France,2875.294,79
157,2001,Great Britain,2067.167,78
158,2001,Japan,1945.556,82
159,2001,USA,4888.518,77
160,2002,Canada,2758.065,80
161,2002,Germany,3239.77,78
162,2002,France,3152.016,79
163,2002,Great Britain,2287.476,78
164,2002,Japan,2065.133,82
165,2002,USA,5316.522,77
166,2003,Canada,2914.206,80
167,2003,Germany,3329.374,79
168,2003,France,3056.265,79
169,2003,Great Britain,2469.159,78
170,2003,Japan,2194.437,82
171,2003,USA,5726.538,77
172,2004,Canada,3122.396,80
173,2004,Germany,3391.521,79
174,2004,France,3170.947,80
175,2004,Great Britain,2724.869,79
176,2004,Japan,2303.68,82
177,2004,USA,6069.53,78
178,2005,Canada,3291.912,80
179,2005,Germany,3429.955,79
180,2005,France,3264.574,80
181,2005,Great Britain,2731.445,79
182,2005,Japan,2471.186,82
183,2005,USA,6430.757,78
184,2006,Canada,3486.621,80
185,2006,Germany,3567.061,80
186,2006,France,3444.855,81
187,2006,Great Britain,2952.329,80
188,2006,Japan,2561.219,82
189,2006,USA,6808.054,78
190,2007,Canada,3709.615,80
191,2007,Germany,3750.787,80
192,2007,France,3588.227,81
193,2007,Great Britain,3021.671,80
194,2007,Japan,2689.916,83
195,2007,USA,7166.513,78
196,2008,Canada,3849.544,81
197,2008,Germany,3955.136,80
198,2008,France,3729.353,81
199,2008,Great Britain,3207.853,80
200,2008,Japan,2799.198,83
201,2008,USA,7385.026,78
202,2009,Canada,3945.873,81
203,2009,Germany,4158.266,80
204,2009,France,3880.842,82
205,2009,Great Britain,3334.506,80
206,2009,Japan,2971.377,83
207,2009,USA,7645.002,78
208,2010,Canada,4155.529,81
209,2010,Germany,4423.07,80
210,2010,France,4045.065,82
211,2010,Great Britain,3441.71,81
212,2010,Japan,3169.19,83
213,2010,USA,7879.253,79
214,2011,Canada,4228.962,81
215,2011,Germany,4566.678,80
216,2011,France,4161.698,82
217,2011,Great Britain,3495.652,81
218,2011,Japan,3740.756,83
219,2011,USA,8079.467,79
220,2012,Canada,4336.249,82
221,2012,Germany,4745.546,81
222,2012,France,4299.434,82
223,2012,Great Britain,3614.131,81
224,2012,Japan,3970.765,83
225,2012,USA,8346.064,79
226,2013,Canada,4428.753,82
227,2013,Germany,4951.677,81
228,2013,France,4544.964,82
229,2013,Great Britain,3667.636,81
230,2013,Japan,4308.252,83
231,2013,USA,8519.62,79
232,2014,Canada,4536.81,82
233,2014,Germany,5151.709,81
234,2014,France,4626.679,83
235,2014,Great Britain,3758.935,81
236,2014,Japan,4328.364,84
237,2014,USA,8925.879,79
238,2015,Canada,4635.285,82
239,2015,Germany,5295.975,81
240,2015,France,4667.156,82
241,2015,Great Britain,3805.82,81
242,2015,Japan,4515.556,84
243,2015,USA,9355.118,79
244,2016,Canada,5044.275,82
245,2016,Germany,5669.064,81
246,2016,France,4928.128,83
247,2016,Great Britain,3960.141,81
248,2016,Japan,4295.858,84
249,2016,USA,9717.649,79
250,2017,Canada,5150.47,82
251,2017,Germany,5970.163,81
